t_index 	term                	df 
6247    	lui                 	8  
6248    	lukin               	1  
6249    	lumber              	3  
6250    	lumberjack          	1  
6251    	luna                	1  
6252    	lunch               	12 
6253    	luncheon            	3  
6254    	lunchtim            	2  
6255    	lung                	9  
6256    	luong               	6  
6257    	lurid               	1  
6258    	lurin               	1  
6259    	lush                	1  
6260    	lust                	1  
6261    	luther              	2  
6262    	lutheran            	1  
6263    	luxembourg          	3  
6264    	luxor               	2  
6265    	luxuri              	5  
6266    	lvador              	1  
6267    	lwr                 	1  
6268    	lwr2                	1  
6269    	ly                  	20 
6270    	lyhoog              	1  
6271    	lynch               	2  
6272    	lyndon              	8  
6273    	lynn                	2  
6274    	lyon                	1  
6275    	lyric               	3  
6276    	ma                  	1  
6277    	mac                 	4  
6278    	macarthur           	1  
6279    	macdonald           	4  
6280    	maceda              	11 
6281    	macedonia           	2  
6282    	machaca             	3  
6283    	machet              	6  
6284    	machin              	23 
6285    	machineri           	4  
6286    	machinist           	1  
6287    	mack                	8  
6288    	macon               	1  
6289    	mad                 	4  
6290    	madden              	1  
6291    	maddock             	1  
6292    	madelein            	42 
6293    	madelin             	4  
6294    	madinat             	1  
6295    	madison             	3  
6296    	madix               	1  
6297    	madra               	4  
6298    	madrassah           	1  
6299    	madrid              	14 
6300    	maelstrom           	1  
6301    	mafia               	3  
6302    	magana              	6  
6303    	maganbhai           	4  
6304    	magazin             	13 
6305    	mager               	1  
6306    	maggi               	1  
6307    	magic               	2  
6308    	magistr             	3  
6309    	magnanim            	3  
6310    	magnat              	3  
6311    	magnet              	1  
6312    	magnifi             	4  
6313    	magnific            	1  
6314    	magnitogorsk        	2  
6315    	magnitud            	59 
6316    	magnu               	14 
6317    	magnum              	4  
6318    	mahajan             	2  
6319    	mahatma             	1  
6320    	mahesh              	1  
6321    	mahmood             	1  
6322    	mahmoud             	1  
6323    	mahogani            	1  
6324    	mahopac             	1  
6325    	mahur               	3  
6326    	maiden              	1  
6327    	mail                	22 
6328    	maim                	3  
6329    	main                	122
6330    	mainagashev         	1  
6331    	mainland            	1  
6332    	mainstai            	1  
6333    	maintain            	48 
6334    	mainten             	19 
6335    	mainupl             	1  
6336    	maj                 	5  
6337    	majdanpek           	1  
6338    	majoli              	6  
6339    	major               	198
6340    	make                	117
6341    	maker               	8  
6342    	makeshift           	16 
6343    	maketa              	1  
6344    	makeup              	1  
6345    	malaysia            	4  
6346    	malaysian           	3  
6347    	malca               	1  
6348    	malcolm             	2  
6349    	male                	2  
6350    	malevol             	4  
6351    	malfunct            	13 
6352    	malhotra            	1  
6353    	mali                	3  
6354    	malic               	2  
6355    	maliss              	1  
6356    	malivai             	1  
6357    	mall                	5  
6358    	malnourish          	1  
6359    	malnutrit           	1  
6360    	malon               	1  
6361    	malonei             	2  
6362    	mama                	1  
6363    	mamad               	2  
6364    	mamansk             	1  
6365    	mammoth             	2  
6366    	man                 	210
6367    	manag               	88 
6368    	manama              	4  
6369    	mananga             	1  
6370    	manannikova         	1  
6371    	manau               	1  
6372    	manchest            	1  
6373    	mandat              	9  
6374    	mandatori           	7  
6375    	mandela             	1  
6376    	maneuv              	27 
6377    	mangal              	1  
6378    	mangl               	12 
6379    	mangu               	1  
6380    	manhattan           	10 
6381    	manhunt             	27 
6382    	mania               	3  
6383    	manifest            	1  
6384    	manifold            	1  
6385    	manind              	1  
6386    	manipul             	27 
6387    	mann                	4  
6388    	manner              	15 
6389    	manorama            	1  
6390    	mansfield           	1  
6391    	mansi               	1  
6392    	mansion             	21 
6393    	mansoob             	1  
6394    	mansoon             	1  
6395    	mantra              	4  
6396    	manual              	2  
6397    	manuel              	5  
6398    	manufactur          	12 
6399    	maoist              	2  
6400    	map                 	8  
6401    	maquiladora         	1  
6402    	mar                 	20 
6403    	maradiaga           	1  
6404    	maraniss            	1  
6405    	marat               	27 
6406    	marathon            	6  
6407    	marbella            	1  
6408    	marbl               	3  
6409    	marburi             	1  
6410    	marc                	23 
6411    	marcela             	1  
6412    	marcelo             	2  
6413    	march               	59 
6414    	marchenko           	1  
6415    	marcher             	6  
6416    	marci               	1  
6417    	marco               	7  
6418    	marg                	1  
6419    	margaret            	4  
6420    	margin              	26 
6421    	margolin            	2  
6422    	mari                	27 
6423    	maria               	13 
6424    	mariam              	1  
6425    	mariana             	2  
6426    	mariano             	1  
6427    	marietta            	3  
6428    	marija              	1  
6429    	marijuana           	5  
6430    	marilyn             	4  
6431    	marin               	39 
6432    	mario               	9  
6433    	marit               	2  
6434    	maritim             	17 
6435    	marjanov            	2  
6436    	mark                	85 
6437    	market              	33 
6438    	marketplac          	2  
6439    	marko               	11 
6440    	markov              	10 
6441    	marlborough         	2  
6442    	marlen              	2  
6443    	marlin              	15 
6444    	marlton             	1  
6445    	marmian             	1  
6446    	maroon              	1  
6447    	marquez             	15 
6448    	marrero             	2  
6449    	marri               	7  
6450    	marriag             	5  
6451    	marroquin           	1  
6452    	marrow              	1  
6453    	marsha              	1  
6454    	marshal             	12 
6455    	marshallfor         	1  
6456    	marshallreport      	1  
6457    	mart                	1  
6458    	marta               	2  
6459    	martha              	2  
6460    	marti               	1  
6461    	martial             	1  
6462    	martin              	20 
6463    	martina             	40 
6464    	martinez            	8  
6465    	martyr              	3  
6466    	martz               	1  
6467    	marv                	1  
6468    	marvel              	2  
6469    	marxist             	11 
6470    	maryland            	3  
6471    	masia               	1  
6472    	mask                	5  
6473    	mason               	3  
6474    	masonri             	11 
6475    	masquerad           	1  
6476    	masri               	2  
6477    	mass                	41 
6478    	massachusett        	5  
6479    	massacr             	6  
6480    	masseus             	1  
6481    	massi               	2  
6482    	massif              	1  
6483    	massiv              	65 
6484    	mast                	1  
6485    	master              	10 
6486    	masteri             	1  
6487    	mastermind          	33 
6488    	mat                 	1  
6489    	match               	70 
6490    	matchup             	6  
6491    	mate                	18 
6492    	materi              	42 
6493    	math                	1  
6494    	mathemat            	3  
6495    	mathewson           	2  
6496    	mathieu             	1  
6497    	matic               	4  
6498    	matt                	1  
6499    	matter              	77 
6500    	matthew             	8  
6501    	mattingli           	1  
6502    	mattress            	5  
6503    	matur               	2  
6504    	mauresmo            	6  
6505    	mauricio            	1  
6506    	mauritania          	4  
6507    	mauro               	1  
6508    	mausoleum           	3  
6509    	max                 	1  
6510    	maxim               	2  
6511    	maximalist          	1  
6512    	maximum             	34 
6513    	mayhem              	3  
6514    	mayor               	30 
6515    	maze                	2  
6516    	mbeki               	3  
6517    	mcalest             	3  
6518    	mcarthur            	1  
6519    	mcauliff            	4  
6520    	mcavoi              	1  
6521    	mccain              	5  
6522    	mccarthi            	2  
6523    	mcclean             	1  
6524    	mcclure             	1  
6525    	mccollum            	7  
6526    	mccomb              	1  
6527    	mcconnel            	1  
6528    	mcdaniel            	1  
6529    	mcdonald            	2  
6530    	mcdoogl             	3  
6531    	mcdougal            	12 
6532    	mcduff              	1  
6533    	mcduge              	1  
6534    	mcenro              	2  
6535    	mcgwire             	2  
6536    	mci                 	1  
6537    	mcintosh            	1  
6538    	mcnamara            	1  
6539    	mcveigh             	1  
6540    	md                  	6  
6541    	meager              	2  
6542    	meal                	6  
6543    	mean                	11 
6544    	meaning             	2  
6545    	meant               	22 
6546    	measur              	69 
6547    	meat                	3  
6548    	mecca               	2  
6549    	mechan              	10 
6550    	mechanicsvil        	3  
6551    	medal               	10 
6552    	medalist            	5  
6553    	media               	68 
6554    	mediat              	17 
6555    	medic               	92 
6556    	medicar             	13 
6557    	medicin             	18 
6558    	medina              	5  
6559    	medinat             	2  
6560    	mediterranean       	6  
6561    	medium              	6  
6562    	meena               	1  
6563    	meet                	171
6564    	megaphon            	1  
6565    	megawatt            	2  
6566    	meghann             	3  
6567    	megrahi             	1  
6568    	meguid              	1  
6569    	mehta               	3  
6570    	mei                 	1  
6571    	mel                 	67 
6572    	mela                	3  
6573    	melancholi          	1  
6574    	melbourn            	28 
6575    	mele                	7  
6576    	melissa             	7  
6577    	mell                	1  
6578    	mellman             	1  
6579    	melros              	1  
6580    	melt                	3  
6581    	melvin              	4  
6582    	member              	205
6583    	membership          	4  
6584    	memento             	1  
6585    	memo                	5  
6586    	memoir              	1  
6587    	memor               	4  
6588    	memorandum          	1  
6589    	memori              	58 
6590    	memphi              	1  
6591    	men                 	217
6592    	menac               	1  
6593    	mend                	3  
6594    	menet               	1  
6595    	mengistu            	1  
6596    	mensch              	1  
6597    	mental              	15 
6598    	mention             	37 
6599    	mentor              	1  
6600    	menu                	2  
6601    	mer                 	1  
6602    	merced              	3  
6603    	merchant            	6  
6604    	merci               	6  
6605    	merciless           	1  
6606    	mere                	4  
6607    	merg                	3  
6608    	merger              	2  
6609    	meri                	2  
6610    	merianov            	1  
6611    	merit               	13 
6612    	merlin              	1  
6613    	mermonsk            	1  
6614    	mermosk             	1  
6615    	mern                	1  
6616    	merri               	2  
6617    	mershon             	8  
6618    	mesh                	2  
6619    	mesmer              	1  
6620    	mess                	17 
6621    	messag              	44 
6622    	messeng             	1  
6623    	met                 	81 
6624    	metal               	32 
6625    	metallurg           	2  
6626    	metaphor            	3  
6627    	meteorolog          	6  
6628    	meteorologist       	3  
6629    	meter               	2  
6630    	method              	15 
6631    	methodist           	2  
6632    	methodolog          	1  
6633    	methyl              	1  
6634    	meticul             	4  
6635    	metropolitan        	1  
6636    	mexican             	4  
6637    	mexico              	34 
6638    	mi                  	2  
6639    	mia                 	12 
6640    	miami               	14 
6641    	miand               	1  
6642    	micandinov          	1  
6643    	mich                	9  
6644    	michael             	45 
6645    	michal              	3  
6646    	michel              	4  
6647    	michella            	1  
6648    	michigan            	18 
6649    	mickelson           	3  
6650    	mickli              	1  
6651    	microphon           	2  
6652    	microscop           	2  
6653    	micunov             	1  
6654    	mid                 	35 
6655    	midafternoon        	1  
6656    	middai              	11 
6657    	middl               	133
6658    	mideast             	25 
6659    	midhar              	2  
6660    	midnight            	19 
6661    	midpoint            	1  
6662    	midsect             	3  
6663    	midst               	7  
6664    	midstream           	1  
6665    	midwai              	2  
6666    	midweek             	1  
6667    	midwest             	3  
6668    	midwestern          	1  
6669    	mif                 	1  
6670    	mift                	1  
6671    	mig                 	1  
6672    	mighti              	3  
6673    	migrant             	2  
6674    	migrat              	5  
6675    	miguel              	11 
6676    	mihailova           	1  
6677    	mihajlov            	3  
6678    	mihdar              	3  
6679    	miiltari            	1  
6680    	mik                 	1  
6681    	mike                	22 
6682    	mikhail             	8  
6683    	mikhailov           	1  
6684    	mikilo              	1  
6685    	miklaszeski         	1  
6686    	miklaszewski        	14 
6687    	miklaszweski        	1  
6688    	mil                 	19 
6689    	milagro             	2  
6690    	milan               	10 
6691    	milanko             	1  
6692    	milanov             	2  
6693    	mild                	7  
6694    	mildli              	1  
6695    	mildr               	1  
6696    	mile                	138
6697    	mileston            	2  
6698    	milica              	2  
6699    	milit               	38 
6700    	militantli          	2  
6701    	militar             	3  
6702    	militari            	282
6703    	militarili          	8  
6704    	militia             	2  
6705    	militiamen          	1  
6706    	milivoj             	1  
6707    	milivojev           	1  
6708    	milk                	1  
6709    	milken              	17 
6710    	mill                	4  
6711    	millenni            	1  
6712    	millennium          	4  
6713    	miller              	6  
6714    	millimet            	2  
6715    	million             	24 
6716    	millionair          	15 
6717    	milo                	3  
6718    	milosev             	134
6719    	milosov             	1  
6720    	milovan             	2  
6721    	milroi              	1  
6722    	milutin             	4  
6723    	milutinov           	9  
6724    	milwauke            	6  
6725    	min                 	1  
6726    	minaret             	2  
6727    	minc                	1  
6728    	mind                	38 
6729    	minder              	1  
6730    	mindset             	1  
6731    	mine                	47 
6732    	minefield           	1  
6733    	miner               	20 
6734    	minesweep           	1  
6735    	ming                	1  
6736    	mingl               	3  
6737    	minh                	24 
6738    	miniatur            	1  
6739    	minim               	3  
6740    	minimum             	13 
6741    	minist              	171
6742    	ministri            	35 
6743    	minivan             	1  
6744    	minn                	3  
6745    	minneapoli          	2  
6746    	minner              	1  
6747    	minnesota           	12 
6748    	minnesotan          	1  
6749    	minor               	39 
6750    	mint                	1  
6751    	minu                	6  
6752    	minut               	114
6753    	mira                	3  
6754    	miracl              	10 
6755    	miracul             	7  
6756    	miranda             	3  
6757    	mirco               	1  
6758    	miriam              	1  
6759    	mirjana             	9  
6760    	mirko               	2  
6761    	miroljub            	1  
6762    	miroslav            	2  
6763    	miroslava           	2  
6764    	mirror              	3  
6765    	misappli            	2  
6766    	miscalcul           	1  
6767    	misconduct          	1  
6768    	misconstru          	1  
6769    	miscu               	1  
6770    	misde               	2  
6771    	misdemeanor         	8  
6772    	miser               	4  
6773    	miseri              	1  
6774    	misfir              	3  
6775    	misfortun           	1  
6776    	misguid             	1  
6777    	misha               	2  
6778    	mishandl            	6  
6779    	mishap              	1  
6780    	mishra              	1  
6781    	misinform           	2  
6782    	misl                	2  
6783    	mislead             	1  
6784    	mismanag            	3  
6785    	mismatch            	4  
6786    	misnom              	1  
6787    	mispronounc         	1  
6788    	misrepres           	1  
6789    	misrepresent        	1  
6790    	misri               	1  
6791    	miss                	137
6792    	missil              	55 
6793    	mission             	55 
6794    	missionari          	3  
6795    	mississippi         	13 
6796    	missouri            	67 
6797    	missourian          	6  
6798    	misspel             	1  
6799    	misstat             	3  
6800    	misstep             	2  
6801    	mistak              	32 
6802    	mistaken            	3  
6803    	mistreat            	4  
6804    	mistress            	6  
6805    	mistrust            	1  
6806    	misunderstand       	3  
6807    	misunderstood       	4  
6808    	misus               	2  
6809    	mitch               	5  
6810    	mitchel             	7  
6811    	mitic               	2  
6812    	mitig               	5  
6813    	mitra               	1  
6814    	mitrovica           	1  
6815    	mittman             	1  
6816    	mix                 	26 
6817    	mixtur              	3  
6818    	mladic              	2  
6819    	mladjan             	3  
6820    	mo                  	14 
6821    	moammar             	1  
6822    	moan                	1  
6823    	mob                 	27 
6824    	mobil               	17 
6825    	mock                	5  
6826    	mockeri             	1  
6827    	mode                	4  
6828    	model               	12 
6829    	moder               	29 
6830    	modern              	24 
6831    	modest              	7  
6832    	modifi              	6  
6833    	mofrt               	1  
6834    	mogul               	5  
6835    	moham               	24 
6836    	mohammad            	1  
6837    	mohm                	1  
6838    	mohsen              	3  
6839    	moin                	1  
6840    	molass              	1  
6841    	mold                	1  
6842    	mole                	1  
6843    	molest              	1  
6844    	molotov             	1  
6845    	mom                 	5  
6846    	momcilo             	1  
6847    	moment              	110
6848    	moments             	1  
6849    	momentum            	12 
6850    	momir               	5  
6851    	mommi               	1  
6852    	mona                	1  
6853    	monarch             	1  
6854    	monarchi            	1  
6855    	monasteri           	1  
6856    	mondai              	207
6857    	monei               	115
6858    	monetari            	13 
6859    	mong                	1  
6860    	monger              	2  
6861    	monica              	32 
6862    	moniqu              	1  
6863    	monitor             	15 
6864    	monopol             	1  
6865    	monoxid             	2  
6866    	monsignor           	1  
6867    	mont                	1  
6868    	montana             	9  
6869    	montecino           	5  
6870    	montelo             	1  
6871    	montenegrin         	7  
6872    	montenegro          	23 
6873    	montesino           	41 
6874    	montesseno          	1  
6875    	montgomeri          	2  
6876    	month               	271
6877    	monthli             	1  
6878    	monthlong           	1  
6879    	monticello          	1  
6880    	montonegro          	1  
6881    	montono             	1  
6882    	montoursvil         	1  
6883    	monument            	3  
6884    	moo                 	1  
6885    	mood                	19 
6886    	moolgd              	1  
6887    	moon                	1  
6888    	moonei              	1  
6889    	mooni               	1  
6890    	moor                	35 
6891    	moorin              	1  
6892    	moot                	1  
6893    	mope                	1  
6894    	moral               	38 
6895    	morali              	1  
6896    	morariu             	4  
6897    	moratorium          	5  
6898    	moreno              	8  
6899    	moresmo             	1  
6900    	morgan              	1  
6901    	morgu               	8  
6902    	mori                	5  
6903    	morison             	1  
6904    	mork                	1  
6905    	morn                	139
6906    	moroccan            	1  
6907    	morocco             	8  
6908    	moros               	1  
6909    	morph               	1  
6910    	morrano             	1  
6911    	morri               	2  
6912    	morrisvil           	2  
6913    	mortal              	2  
6914    	mortar              	4  
6915    	mortem              	2  
6916    	morton              	3  
6917    	moscow              	79 
6918    	mosqu               	14 
6919    	mosquito            	1  
6920    	mossad              	1  
6921    	motahar             	1  
6922    	motel               	9  
6923    	moth                	1  
6924    	mother              	64 
6925    	motherland          	1  
6926    	motherless          	1  
6927    	motion              	11 
6928    	motiv               	19 
6929    	motlei              	1  
6930    	motor               	19 
6931    	motorbik            	1  
6932    	motorcad            	11 
6933    	motorcycl           	6  
6934    	motorist            	1  
6935    	motsak              	4  
6936    	motto               	2  
6937    	mound               	11 
6938    	mount               	39 
6939    	mountain            	37 
6940    	mountainsid         	6  
6941    	mountaintop         	1  
6942    	mourn               	21 
6943    	mourner             	12 
6944    	mourton             	1  
6945    	mouth               	4  
6946    	mouthpiec           	3  
6947    	move                	212
6948    	movement            	37 
6949    	mover               	5  
6950    	movi                	10 
6951    	mow                 	2  
6952    	moya                	10 
6953    	moynihan            	5  
6954    	moyo                	1  
6955    	mozambiqu           	2  
6956    	mph                 	16 
6957    	mra                 	2  
6958    	mrclinton           	1  
6959    	ms                  	4  
6960    	msnbc               	5  
6961    	mtv                 	1  
6962    	mubarak             	6  
6963    	mud                 	24 
6964    	muddi               	4  
6965    	muddl               	3  
6966    	mudslid             	5  
6967    	mueller             	5  
6968    	muezzin             	1  
6969    	muffl               	3  
6970    	mugab               	1  
6971    	muhajiroun          	3  
6972    	muham               	1  
6973    	muhammad            	7  
6974    	mujahedeen          	1  
6975    	mujahedin           	1  
6976    	mujahid             	1  
6977    	mull                	3  
6978    	mullah              	1  
6979    	mulligan            	1  
6980    	mullin              	9  
6981    	mulshankar          	3  
6982    	multi               	1  
6983    	multifacet          	2  
6984    	multilingu          	1  
6985    	multimillion        	2  
6986    	multimillionair     	3  
6987    	multin              	4  
6988    	multiparti          	2  
6989    	multipl             	11 
6990    	multipli            	1  
6991    	multistori          	7  
6992    	multitud            	2  
6993    	mum                 	2  
6994    	mumbai              	1  
6995    	munchak             	1  
6996    	mundan              	2  
6997    	munich              	1  
6998    	municip             	17 
6999    	munit               	3  
7000    	muprhi              	1  
7001    	muqbel              	1  
7002    	murder              	52 
7003    	murdoch             	1  
7004    	murk                	1  
7005    	murki               	3  
7006    	murmansk            	5  
7007    	murmosk             	1  
7008    	murousi             	1  
7009    	murphi              	21 
7010    	murrai              	2  
7011    	murtza              	1  
7012    	musawah             	3  
7013    	muscl               	4  
7014    	muscular            	1  
7015    	muse                	1  
7016    	museum              	7  
7017    	musharraf           	4  
7018    	music               	13 
7019    	musician            	2  
7020    	muslim              	59 
7021    	mustach             	2  
7022    	muster              	1  
7023    	mustn               	3  
7024    	mute                	9  
7025    	mutil               	2  
7026    	mutin               	1  
7027    	mutini              	7  
7028    	muttawakil          	1  
7029    	mutter              	1  
7030    	mutual              	1  
7031    	myakka              	1  
7032    	myasthenia          	1  
7033    	mydan               	1  
7034    	myer                	4  
7035    	myong               	2  
7036    	mysteri             	17 
7037    	mystiqu             	1  
7038    	myth                	2  
7039    	mythic              	1  
7040    	naacp               	1  
7041    	nab                 	2  
7042    	nabil               	1  
7043    	nachtig             	4  
7044    	nacion              	1  
7045    	nadejda             	1  
7046    	nader               	12 
7047    	naderi              	2  
7048    	nadia               	1  
7049    	nadler              	1  
7050    	nadu                	1  
7051    	nagel               	1  
7052    	nagl                	1  
7053    	nagyova             	3  
7054    	nahdi               	1  
7055    	nai                 	1  
7056    	nail                	3  
7057    	naina               	5  
7058    	nainabehn           	1  
7059    	nairobi             	6  
7060    	nairri              	1  
7061    	naiv                	1  
7062    	naji                	1  
7063    	najjar              	1  
7064    	nake                	2  
7065    	nam                 	4  
7066    	namast              	1  
7067    	nambiar             	1  
7068    	name                	81 
7069    	namesak             	1  
7070    	namrata             	5  
7071    	nanci               	3  
7072    	nanni               	1  
7073    	nanuet              	1  
7074    	naoya               	1  
7075    	nap                 	2  
7076    	narayan             	2  
7077    	narayanan           	1  
7078    	narbheram           	1  
7079    	narcot              	13 
7080    	narr                	1  
7081    	narrow              	29 
7082    	narrowli            	9  
7083    	nasa                	1  
7084    	nasdaq              	1  
7085    	nashvil             	7  
7086    	nasir               	1  
7087    	nasr                	1  
7088    	nassou              	2  
7089    	nasti               	1  
7090    	nastier             	1  
7091    	natalia             	1  
7092    	nath                	1  
7093    	nati                	1  
7094    	nation              	332
7095    	nationalcop         	1  
7096    	nationalist         	15 
7097    	nationwid           	20 
7098    	nativ               	18 
7099    	nato                	47 
7100    	natop               	1  
7101    	natta               	1  
7102    	natter              	11 
7103    	natur               	49 
7104    	nauf                	1  
7105    	navajo              	4  
7106    	naval               	108
7107    	navarro             	1  
7108    	navasota            	1  
7109    	navcent             	2  
7110    	navel               	1  
7111    	navi                	230
7112    	navig               	2  
7113    	navnirman           	1  
7114    	navpalib            	4  
7115    	navrotski           	8  
7116    	navstanorva         	1  
7117    	navymen             	2  
7118    	nazi                	3  
7119    	nbc                 	66 
7120    	ne                  	1  
7121    	nea                 	1  
7122    	near                	4  
7123    	nearbi              	66 
7124    	nearest             	1  
7125    	neat                	4  
7126    	neatli              	1  
7127    	neb                 	1  
7128    	nebojsa             	15 
7129    	nebraska            	4  
7130    	necess              	2  
7131    	necessit            	3  
7132    	neck                	9  
7133    	ned                 	1  
7134    	need                	85 
7135    	needi               	1  
7136    	neediest            	1  
7137    	needl               	1  
7138    	neeman              	1  
7139    	neg                 	12 
7140    	negat               	1  
7141    	neglect             	2  
7142    	neglig              	4  
7143    	negoti              	63 
7144    	neighbor            	83 
7145    	neighborhood        	54 
7146    	neighborli          	5  
7147    	neil                	2  
7148    	neill               	3  
7149    	nelli               	1  
7150    	nelson              	8  
7151    	nemesi              	4  
7152    	nemeth              	1  
7153    	nena                	1  
7154    	nenad               	10 
7155    	nenadov             	1  
7156    	nene                	1  
7157    	neo                 	7  
7158    	nepal               	8  
7159    	nephew              	5  
7160    	neruda              	2  
7161    	nerv                	5  
7162    	nervou              	12 
7163    	nervous             	4  
7164    	nese                	1  
7165    	ness                	1  
7166    	nest                	1  
7167    	net                 	81 
7168    	netherland          	15 
7169    	network             	61 
7170    	neutral             	4  
7171    	nevada              	7  
7172    	nevypolneniy        	1  
7173    	new                 	352
7174    	newark              	1  
7175    	newburi             	21 
7176    	newcomb             	1  
7177    	newer               	1  
7178    	newest              	6  
7179    	newfound            	1  
7180    	newli               	34 
7181    	newlyw              	2  
7182    	newport             	2  
7183    	newscast            	7  
7184    	newslett            	4  
7185    	newsmagazin         	1  
7186    	newsnow             	1  
7187    	newspap             	58 
7188    	newsroom            	1  
7189    	newsstand           	1  
7190    	newsweek            	3  
7191    	newswir             	1  
7192    	nfl                 	1  
7193    	ng                  	2  
7194    	nga                 	4  
7195    	ngan                	1  
7196    	ngo                 	2  
7197    	ngoc                	2  
7198    	nguessan            	2  
7199    	nguyen              	4  
7200    	nhan                	1  
7201    	nhema               	1  
7202    	ni                  	10 
7203    	nic                 	1  
7204    	nicaragua           	3  
7205    	nice                	10 
7206    	niceti              	1  
7207    	nich                	1  
7208    	nichola             	2  
7209    	nick                	4  
7210    	nicknam             	5  
7211    	nicodem             	2  
7212    	nicol               	3  
7213    	nicola              	8  
7214    	nidal               	1  
7215    	niec                	1  
7216    	nielsen             	1  
7217    	nien                	2  
7218    	nieto               	1  
7219    	nigeria             	7  
7220    	nigerian            	1  
7221    	night               	198
7222    	nightclub           	3  
7223    	nighter             	1  
7224    	nightfal            	3  
7225    	nightgown           	2  
7226    	nightli             	2  
7227    	nightmar            	6  
7228    	nightmarish         	1  
7229    	nighttim            	6  
7230    	nikit               	1  
7231    	nikol               	2  
7232    	nikola              	3  
7233    	niksic              	2  
7234    	nimesh              	1  
7235    	nin                 	2  
7236    	nina                	5  
7237    	nino                	1  
7238    	ninth               	20 
7239    	nip                 	2  
7240    	nirmala             	1  
7241    	nissan              	3  
7242    	nitex               	2  
7243    	nitrat              	1  
7244    	nitti               	1  
7245    	nixon               	17 
7246    	nizali              	1  
7247    	nleomf              	1  
7248    	nn                  	1  
7249    	nobl                	3  
7250    	nobleman            	1  
7251    	nod                 	2  
7252    	noi                 	1  
7253    	nois                	6  
7254    	noisi               	1  
7255    	nolan               	1  
7256    	noman               	1  
7257    	nomin               	17 
7258    	nomine              	14 
7259    	nonchalantli        	1  
7260    	noncommiss          	1  
7261    	nonessenti          	3  
7262    	nonexist            	5  
7263    	nongovern           	2  
7264    	nonneman            	1  
7265    	nonpartisan         	6  
7266    	nonpolit            	2  
7267    	nonprofit           	3  
7268    	nonsens             	1  
7269    	nonspecif           	1  
7270    	nonstat             	1  
7271    	nonstop             	4  
7272    	nonviol             	7  
7273    	nonword             	1  
7274    	noon                	13 
7275    	noparolepelti       	2  
7276    	norah               	1  
7277    	norfolk             	67 
7278    	norm                	3  
7279    	normal              	46 
7280    	normalci            	1  
7281    	norman              	19 
7282    	north               	78 
7283    	northeast           	10 
7284    	northeastern        	6  
7285    	northern            	60 
7286    	northup             	4  
7287    	northward           	1  
7288    	northwest           	17 
7289    	northwestern        	3  
7290    	norton              	1  
7291    	norwai              	14 
7292    	norwegian           	44 
7293    	nose                	3  
7294    	nostalgia           	1  
7295    	notabl              	10 
7296    	notch               	4  
7297    	note                	50 
7298    	notebook            	2  
7299    	notic               	19 
7300    	notif               	1  
7301    	notifi              	20 
7302    	notion              	4  
7303    	notori              	6  
7304    	notorieti           	1  
7305    	notr                	2  
7306    	notwithstand        	2  
7307    	nov                 	38 
7308    	novelist            	2  
7309    	novemb              	36 
7310    	novi                	4  
7311    	novic               	1  
7312    	novost              	1  
7313    	novosti             	3  
7314    	nowadai             	1  
7315    	npr                 	9  
7316    	ntsb                	5  
7317    	nuanc               	1  
7318    	nuclear             	52 
7319    	nude                	1  
7320    	nudg                	3  
7321    	nuffer              	1  
7322    	null                	1  
7323    	nullifi             	9  
7324    	numb                	1  
7325    	number              	145
7326    	numer               	21 
7327    	nun                 	1  
7328    	nuria               	3  
7329    	nurs                	8  
7330    	nurtur              	2  
7331    	nuvajubhai          	1  
7332    	nw                  	1  
7333    	ny                  	1  
7334    	nytim               	1  
7335    	oa                  	2  
7336    	oakland             	1  
7337    	oasi                	2  
7338    	oath                	13 
7339    	oaxa                	1  
7340    	obedi               	2  
7341    	obei                	9  
7342    	obituari            	1  
7343    	object              	36 
7344    	oblig               	9  
7345    	obliqu              	1  
7346    	obliter             	2  
7347    	obrad               	1  
7348    	obradov             	3  
7349    	obrenovac           	1  
7350    	obscen              	2  
7351    	obscur              	5  
7352    	observ              	45 
7353    	observatori         	1  
7354    	obsess              	2  
7355    	obstacl             	14 
7356    	obstinaci           	1  
7357    	obstruct            	3  
7358    	obstructionist      	1  
7359    	obtain              	16 
7360    	obviou              	12 
7361    	obyazatelstv        	1  
7362    	occas               	19 
7363    	occasion            	14 
7364    	occup               	9  
7365    	occupi              	16 
7366    	occur               	67 
7367    	ocean               	13 
7368    	ochoa               	3  
7369    	oct                 	112
7370    	oct2000             	1  
7371    	octob               	76 
7372    	octopu              	3  
7373    	odci                	4  
7374    	odd                 	10 
7375    	odeh                	1  
7376    	odium               	1  
7377    	odlon               	1  
7378    	odolon              	1  
7379    	off                 	2  
7380    	offenc              	1  
7381    	offend              	13 
7382    	offens              	16 
7383    	offer               	128
7384    	offic               	364
7385    	offici              	496
7386    	offshoot            	1  
7387    	offshor             	11 
7388    	ofici               	1  
7389    	ofussia             	1  
7390    	ogen                	1  
7391    	ognjen              	1  
7392    	ohio                	9  
7393    	oht                 	2  
7394    	oik                 	1  
7395    	oil                 	48 
7396    	oiler               	2  
7397    	oilfield            	1  
7398    	oili                	4  
7399    	ojdan               	3  
7400    	okaz                	1  
7401    	okla                	2  
7402    	oklahoma            	13 
7403    	oklia               	1  
7404    	old                 	3  
7405    	olden               	1  
7406    	older               	9  
7407    	oldest              	9  
7408    	oleg                	2  
